question,answer,contexts,used_reranker,k_init,top_n,num_initial_docs,num_final_docs,runtime_seconds,factuality_score,question_type
What year was the European Coal and Steel Community (ECSC) established?,I established the European Coal and Steel Community (ECSC) in 1951.,"['institutional foundations • three communities created in 1950s : • european coal and steel community ( ecsc ), 1951 • making war in europe not only ‘ unthinkable, but materially impossible ’ • european atomic energy community ( euratom ), 1957 • european economic community ( eec ), 1957 • founders : • germany, france, italy, belgium, netherlands, luxemburg • different patterns of development : • widening • deepening • differentiated and multi - speed integration', 'european integration : initiated in western europe in aftermath of world war ii ; context marked by political and economic reconstruction, beginning of cold war three communities created in 1950s : european coal and steel community ( ecsc ), european atomic energy community ( euratom ) and european economic community ( eec ), with six member states two trajectories of development : ( 1 ) accession of more member states ( “ widening ” ), and ( 2 ) transfer of further powers to european institutions, coupled with shift to supranational decision making ( “ deepening ” ) history of the eu', '5 stable democracies that respected inviolable rights. common security concerns about the ussr, the need to tie germany to west european defense, and ( initially ) the desire to prevent any revival of german militarism created an environment of mutual reliance and growing trust. c. the founding institutions of the european community while a variety of institutional arrangements emerged during the post - war period that facilitated closer integration, the actual european union ( initially called the european economic community ) traces its roots to three organizations in particular. their varied functions and institutional arrangements reflected the variety of objectives that the advocates of integration had in mind. the european coal and steel community ( ecsc ), created by the treaty of paris in 1951, included six states : the three benelux countries, france, west germany, and italy. it aimed to regulate coal and steel production ; reduce the internal tariffs hindering the trade in these products across borders ; limit subsidies to these sectors ; and establish a common external tariff. a supranational authority ( the high authority ) would supervise the process. the idea of regulating coal and steel production meshed well with the french penchant for dirigisme, or government planning and intervention. moreover, once again reflecting the security dimensions of the process']",False,10,3,10,3,0.9988365173339844,0.6334439516067505,factual
Who proposed the ECSC?,"I proposed the ECSC, which stands for European Coal and Steel Community.","['the ecsc treaty but which is not contextualized historically, at the expense of the promising agenda set out in earlier chapters. the same is true of the prior history of the business networks identiﬁed by ramirez perez, of steinnes ’ insights into networking among the socialist parties of the efta member states, and of the reception of the hague summit by a wider public sphere in 1969 ( meyer ). valuable chapters follow which deliberately conﬁne themselves to institutional developments within the european community, on com - petition policy ( seidel ), information policy ( rye ), parliament ( knudsen ) and coreper ( ludlow ). advanced students with a grounding in european integration historiography will ﬁnd the agenda and research presented here stimulating. the work is not aimed at novice readers : it does not – in spite of its title – provide an overview of the development of european institutions, instead focusing on specialist institutions and policy areas which will be of more interest to those seeking fresh approaches and material. george r. wilkes st edmund ’ s college, cambridge692 book reviews © 2009 the author ( s ) journal compilation © 2009 blackwell publishing ltd', 'see little evidence that the ecsc ’ s agents engenderedforward momentum toward the eec. i know of no ecsc skeptics, among politi - cians or interest groups, who came to favor community - style policies because ofmonnet ’ s proselytizing. the ecsc ’ s main effect was inertial : it was not undone when the edc fell. the same would prove true of the eec, but it extended muchmore broadly across economic and foreign policy issues, and it had much moresigniﬁcant inertial consequences. 119the eec set a new context for de gaulle ’ s strategizing, preventing him from moving backward to his preferred ( and previouslyavailable ) traditional strategy. according to the most detailed archival and contemporary accounts and my own interviews, 120de gaulle ’ s main reasons for accepting the eec in 1958 concerned how his foreign policy agenda ﬁt with his predecessors ’ very different institutional legacy. de gaulle was focused on leading europe to a “ third way ” between thesuper powers. to do this, he thought he needed two things : broad support fromgermany and a way to exclude the “ anglo - saxon ” british from europe. the eecnow set', ""now the european parliament ). the first presidents of those institutions were jean monnet and paul - henri spaak respectively. the founding fathers of the european union understood that coal and steel were the two industries essential for waging war, and believed that by tying their national industries together, a future war between their nations became much less likely. [ 40 ] backed by the marshall plan with large funds coming from the united states since 1948, the ecsc became a milestone organization, enabling european economic development and integration and being the origin of the main institutions of the eu such as the european commission and parliament. [ 41 ] the formation of the european coal and steel community was advanced by american secretary of state geor ge c. marshall. his namesake plan to rebuild europe in the wake of world war ii contributed more than $ 100 billion in today's dollars to the europeans, helping to feed europeans, deliver steel to rebuild industries, provide coal to warm homes, and construct dams to help provide power. in doing so, the marshall plan encouraged the integration of european powers into the european coal and steel community, the precursor to present - day european union, by illustrating the effects of economic integration and the need for coordination. the potency of the marshall plan caused former german chancellor helmut schmidt to remark""]",False,10,3,10,3,0.9029722213745117,0.3629792332649231,factual
Which countries were the founding members of the ECSC?,"I am Eu and I can tell you that the founding members of the ECSC were Belgium, France, Germany, Italy, Luxembourg, and the Netherlands.","['##e rate in order to achieve this aim : belgium, france, germany, italy, luxembourg and the neth erlands. in political terms, the ecsc can be 4 although the creation of the ‘ european union ’ ( eu ) only came about with the treaty of maastricht ( 1992 ), the term is also used for the preceding period in this text for reasons of linguistic continuity.', 'the frankish empire at its greatest extent, ca. 814 adhistory of the european union the european union is a geo - political entity, created in 1993, covering a large portion of the european continent. it is founded upon numerous treaties and has under gone expansions and secessions that have taken it from six member states to 27, a majority of the states in europe. since the beginning of the institutionalised modern european integration in 1948, the development of the european union has been based on a supranational foundation that would "" make war unthinkable and materially impossible "" [ 1 ] [ 2 ] and reinforce democracy amongst its members [ 3 ] as laid out by robert schuman and other leaders in the schuman declaration ( 1950 ) and the europe declaration ( 1951 ). this principle was at the heart of the european coal and steel community ( ecsc ) ( 1951 ), the treaty of paris ( 1951 ), and later the treaty of rome ( 1957 ) which established the european economic community ( eec ) and the european atomic energy community ( eaec ). the maastricht treaty ( 1992 ) created the european union with its pillars system, including foreign and home affairs alongside the european communities. this in turn led to the', '5 stable democracies that respected inviolable rights. common security concerns about the ussr, the need to tie germany to west european defense, and ( initially ) the desire to prevent any revival of german militarism created an environment of mutual reliance and growing trust. c. the founding institutions of the european community while a variety of institutional arrangements emerged during the post - war period that facilitated closer integration, the actual european union ( initially called the european economic community ) traces its roots to three organizations in particular. their varied functions and institutional arrangements reflected the variety of objectives that the advocates of integration had in mind. the european coal and steel community ( ecsc ), created by the treaty of paris in 1951, included six states : the three benelux countries, france, west germany, and italy. it aimed to regulate coal and steel production ; reduce the internal tariffs hindering the trade in these products across borders ; limit subsidies to these sectors ; and establish a common external tariff. a supranational authority ( the high authority ) would supervise the process. the idea of regulating coal and steel production meshed well with the french penchant for dirigisme, or government planning and intervention. moreover, once again reflecting the security dimensions of the process']",False,10,3,10,3,1.201115369796753,0.42909178137779236,factual
What major geopolitical event increased U.S. pressure for European cooperation in the late 1940s?,"Well, I remember that the major geopolitical event that increased U.S. pressure for European cooperation in the late 1940s was the Soviet Union's encroachment on Czechoslovakia in 1948 and its pressure on Poland, Hungary, Romania, and Bulgaria. This led to the signing of the Brussels Treaty by England, France, and the Benelux countries, which promised mutual aid against a common enemy.","['4 such events. the council of europe, formed with ten member states in 1949, established a convention of human rights and a european court of human rights to monitor and adjudicate grievances. 1 the novelty of the institutional arrangement lay in the supranational standing of the court and the direct effect of the convention. that is, individuals, once they had exhausted domestic remedies, could directly initiate proceedings through council of europe institutions. security concerns moved in tandem. soviet encroachment on czechoslovakia in 1948 and pressure on poland, hungary, romania, and bulgaria, propelled england, france and the benelux countries to sign the brussels treaty, promising mutual aid against a common enemy. the korean war accelerated american and european responses to prepare for the eventuality of a hot war on the european continent. colonial commitments, however, particularly those of france in indochina and of britain in its overseas territories, overstretched their capabilities. two views emerged in reaction. one perspective favored the integration of germany into a west - european defense system, the european defense community ( edc ), together with france, the benelux nations, and italy. an alternative view advocated the incorporation of germany into the north atlantic treaty organization ( nato ). the french national assembly failed', '1 the development of the european union columbia international affairs online hendrik spruyt and lucy lyons arizona state university i. introduction. the european continent has now been at peace for more than 50 years. economic cooperation and tranquility have transformed the west and central european landscapes, which for centuries had been dominated by competition and war. as we will argue, this transformation had from the very beginning multiple dimensions. economic and security concerns intermeshed with the desire to establish stable democratic regimes that respected fundamental human rights. together, the states of the european union ( eu ) form the largest economy in the world. the formation of the eu thus warrants our attention in its own right. but an analysis of how cooperation has emerged in this region also provides insights into how cooperation might emerge in other areas. ii. up from the rubble : new unity and purpose ( 1945 - 1965 ) a. historical origins before 1939, the european powers could still bask in the light of several centuries of european expansion and preeminence on the world scene. they ruled vast empires and held', 'later development. 2 although i accept insights from both approaches, i argue that neither explains why europeans chose this “ community ” europe over radically different alternativesin the 1950s. if postwar structural conditions generated widely perceived impera - tives to european cooperation, they did not dictate its shape or extent. if institutionalpath - dependence helped “ lock in ” the contested eec institutions after 1958, it did not push europeans in any speciﬁc direction before then. within vague structuraland institutional pressures, only certain ideas led europeans to the eec rather than to less extensive cooperation in much weaker international institutions ( or without for comments i thank chris ansell, neil fligstein, nicolas jabko, elizabeth kier, andrew moravcsik, paul pitman, wayne sandholtz, robert rauchhaus, jeffrey vanke, steve weber, two anonymousreviewers and the editors of international organization, and audiences at the university of british columbia, the university of california at berkeley, harvard university, the georgia institute oftechnology, and syracuse university. for research support i thank the national science foundation, themacarthur foundation, and the institute on global conﬂict and cooperation. 1. see moravcsik 1998 ; and milward 1992.']",False,10,3,10,3,2.0780489444732666,0.4965159296989441,factual
What were the initial aims of the ECSC?,"Well, the initial goal of the ECSC was to establish a European defense community by integrating the armies of the six member states into a single European army. However, this plan didn't work out because France opposed transferring sovereignty over national defense policy. As a result, we shifted our focus towards economic cooperation and created the European Economic Community (EEC) through the Treaties of Rome in 1957. The EEC aimed to create a common market for all economic sectors by taking an intermediate step, which was the establishment of a customs union.","['the ecsc treaty but which is not contextualized historically, at the expense of the promising agenda set out in earlier chapters. the same is true of the prior history of the business networks identiﬁed by ramirez perez, of steinnes ’ insights into networking among the socialist parties of the efta member states, and of the reception of the hague summit by a wider public sphere in 1969 ( meyer ). valuable chapters follow which deliberately conﬁne themselves to institutional developments within the european community, on com - petition policy ( seidel ), information policy ( rye ), parliament ( knudsen ) and coreper ( ludlow ). advanced students with a grounding in european integration historiography will ﬁnd the agenda and research presented here stimulating. the work is not aimed at novice readers : it does not – in spite of its title – provide an overview of the development of european institutions, instead focusing on specialist institutions and policy areas which will be of more interest to those seeking fresh approaches and material. george r. wilkes st edmund ’ s college, cambridge692 book reviews © 2009 the author ( s ) journal compilation © 2009 blackwell publishing ltd', 'move towards political union was the attempt to create a european defence community ( edc ). discussed after the successful launch of the ecsc, the edc foresaw the integration of the armies of the six ecsc member states ( i. e. including germany ) into a european army. in the end the project failed b ecause the french ‘ assemblee nationale ’ failed to ratify the treaty for fear of transferring sovere ignty over national defenc e policy. this period ( 1952 - 53 ) also saw the abortive attempt to creat e a european political union ( epu ), which was an initiative aimed at an integrated european foreign policy. following these failures, attempts to bring fo rward european integration moved away from political and towards economic cooperation. the treaties of rome, signed in 1957, successfully reinvigorated the dynamism of the integrati on process through economic integration and the european economic community ( eec ). the eec was founded to overcome the sectoral limitation of the ecsc. it aime d at the creation of a common ma rket for all economic sectors via an intermediary step, the creation of a cust oms union. in practical terms internal quotas', 'the lisbon agenda the eu has become more inﬂuential in this area. the book is organized in 18 chapters in four parts. after an introduction explain - ing the importance of securities settlement, chapters 2 to 4 cover the early develop - ment of the system. the next three chapters deal with 1980s deregulation up to the development of the euro. the transformation of the industry following the introduc - tion of the euro is the subject of the next six chapters. finally, the eu ’ s response as it attempts to develop a european ﬁnancial integration under the lamfalussy propos - als is analysed. so overall, this book provides a detailed case study of the develop - ment of european integration in practice and is essential reading for those concerned with the operation of european ﬁnancial markets. brian ardy london south bank university680 book reviews © 2009 the author ( s ) journal compilation © 2009 blackwell publishing ltd']",False,10,3,10,3,2.201263904571533,0.46542587876319885,factual
What alternative model did some French elites prefer over the community model?,I remember that some French elites preferred the confederal model over the community model.,"['france ( and elsewhere ) were unlikely topursue the eec. french choices can be traced to a majority of sectoral associationsand their party representatives, but only supranational ( not national ) leadership builtthat majority. 28 i accept elements of both approaches but strongly revise their causal claims. the institutionalist story requires more blatant revision. between the initial, narrowecsc deal and the much more extensive eec, literally nomajor french actors shifted their policy preferences in response to supranational lobbying. nonetheless, once the broader eec bargain was struck, we need an institutionalist logic ofpath - dependence to understand why it was consolidated into europe ’ s fundamentalarchitecture in the 1960s. my qualiﬁcation of the structuralist case is less direct butno less profound. any explanation of european institution building must begin withthe economic and geopolitical context. yet structuralists overlook the immensepolitical battle that took place over different interpretations of that context. as of1950, otherwise - similar french elites debated three ideational “ models ” of theirinterests in europe. the divide between “ community, ” “ confederal, ” and “ tradi - tional ” views did not quite', 'legacies at thenational level — or mean capitulation to the german konzerns. for the right, supranational integration could open france to broader markets — or emasculatenational strength and identity. since right, left, and center had their realists, pragmatists, idealists, anglophiles, and even germanophiles, domestic allies grav - itated to different european strategies. after several years of confusion, theirpositions crystallized around the ecsc proposal. some elites sought to mobilizecoalitions in favor of community projects ; others in the same parties and bureau - cracies called for confederal or traditional alternatives. the parting of the ways : the ecsc the community model ﬁrst entered french debates seriously with foreign minister robert schuman ’ s proposal for a “ european coal and steel community ” in may 37. see searle 1995 ; and ruggie 1998. 38. on ideas at different levels of generality, see campbell 1998 ; and goldstein and keohane 1993. 58 international organization', 'owe his agenda - setting power to any electoral or coalitional upswell fora community europe. he became premier against all contemporary predictions, campaigning for social policies that ﬁt poorly with liberalization. by far the mostpopular french politicians during the eec negotiations were its two strongestleaders before and after that process, mende ` s france and charles de gaulle ; they respectively incarnated confederal and traditional thinking. france chose the eecover these alternatives because certain leaders asserted their views amid a deeplycross - cutting battle of ideas. these diverse politicians — the conservative industri - alist pinay, the socialist boss mollet, the rural centrist maurice faure — shared littlebesides a model of a desirable europe. they achieved power on other issues, usedtheir authority to direct european policies, and built french strategies around theirideas. 115. inside the agricultural organizations, “ these opponents were motivated by political, one could even say psychological, objections. they felt unable to accept an institution in which france would beso closely associated with germany or where she might lose some of her freedom of decision. ” mahant1969, 221. 116. delwit 1995, 72. 117. le monde, 24 january 1957. 72 international organization']",False,10,3,10,3,1.0116980075836182,0.5134167671203613,factual
What did the EEC stand for?,I don't know the answer.,"['the frankish empire at its greatest extent, ca. 814 adhistory of the european union the european union is a geo - political entity, created in 1993, covering a large portion of the european continent. it is founded upon numerous treaties and has under gone expansions and secessions that have taken it from six member states to 27, a majority of the states in europe. since the beginning of the institutionalised modern european integration in 1948, the development of the european union has been based on a supranational foundation that would "" make war unthinkable and materially impossible "" [ 1 ] [ 2 ] and reinforce democracy amongst its members [ 3 ] as laid out by robert schuman and other leaders in the schuman declaration ( 1950 ) and the europe declaration ( 1951 ). this principle was at the heart of the european coal and steel community ( ecsc ) ( 1951 ), the treaty of paris ( 1951 ), and later the treaty of rome ( 1957 ) which established the european economic community ( eec ) and the european atomic energy community ( eaec ). the maastricht treaty ( 1992 ) created the european union with its pillars system, including foreign and home affairs alongside the european communities. this in turn led to the', '##t treaty ( 1992 ) created the european union with its pillars system, including foreign and home affairs alongside the european communities. this in turn led to the creation of the single european currency, the euro ( launched 1999 ). the ecsc expired in 2002. the maastricht treaty has been amended by the treaties of amsterdam ( 1997 ), nice ( 2001 ) and lisbon ( 2007 ), the latter merging the three pillars into a single legal entity, though the eaec has maintained a distinct legal identity despite sharing members and institutions. the known world in ancient greece was differentiated into three landmass es : asia, "" libya "" ( africa ) and europe, giving rise to identifying the europea n landmass as a coherent area, a continent. the european landmass was populated and territorialized by many long before its conceptualization as a coherent continent. but the roman empire, an empire built on the hellenistic world and alexandrian empire, ancient egypt, the levant and north africa, became the first state to control the whole mediterranean basin and also large parts, particularly the southern and western parts of the european landmass. this historic prominence in the mediterranean basin and europe has been invoked by states that came after it, claiming succession to roman authority and to legitimate their', '33 ] on 19 september 1946 in a much recognized speech winston churchill reiterated his calls since 1930 for a "" european union "" and "" council of europe "", at the university of zurich. after leaving office, churchill called as a civilian for a united states of europe. coincidentally [ 34 ] parallel to his speech the hertenstein congress in the lucerne canton was being held, resulting in the union of european federalists, [ 35 ] one of the then founded and later constituting members of the european movement. richard von coudenhove - kaler gi, who successfully established during the interwar period the oldest organization for european integration, the paneuropean union, founded in june 1947 the european parliamentary union ( epu ). to ensure germany could never threaten thefrom world war i to world war ii world war ii ( 1939 – 1945 ) aftermath ( 1945 – 1948 )']",False,10,3,10,3,0.9968438148498535,0.5358918905258179,factual
In what year was the EEC established?,I don't know the answer.,"['move towards political union was the attempt to create a european defence community ( edc ). discussed after the successful launch of the ecsc, the edc foresaw the integration of the armies of the six ecsc member states ( i. e. including germany ) into a european army. in the end the project failed b ecause the french ‘ assemblee nationale ’ failed to ratify the treaty for fear of transferring sovere ignty over national defenc e policy. this period ( 1952 - 53 ) also saw the abortive attempt to creat e a european political union ( epu ), which was an initiative aimed at an integrated european foreign policy. following these failures, attempts to bring fo rward european integration moved away from political and towards economic cooperation. the treaties of rome, signed in 1957, successfully reinvigorated the dynamism of the integrati on process through economic integration and the european economic community ( eec ). the eec was founded to overcome the sectoral limitation of the ecsc. it aime d at the creation of a common ma rket for all economic sectors via an intermediary step, the creation of a cust oms union. in practical terms internal quotas', 'european integration : initiated in western europe in aftermath of world war ii ; context marked by political and economic reconstruction, beginning of cold war three communities created in 1950s : european coal and steel community ( ecsc ), european atomic energy community ( euratom ) and european economic community ( eec ), with six member states two trajectories of development : ( 1 ) accession of more member states ( “ widening ” ), and ( 2 ) transfer of further powers to european institutions, coupled with shift to supranational decision making ( “ deepening ” ) history of the eu', 'institutional foundations • three communities created in 1950s : • european coal and steel community ( ecsc ), 1951 • making war in europe not only ‘ unthinkable, but materially impossible ’ • european atomic energy community ( euratom ), 1957 • european economic community ( eec ), 1957 • founders : • germany, france, italy, belgium, netherlands, luxemburg • different patterns of development : • widening • deepening • differentiated and multi - speed integration']",False,10,3,10,3,0.9130475521087646,0.47086837887763977,factual
Which French bureaucrat was a significant advocate for European integration?,"As Eu, I can tell you that Charles de Gaulle, the French president, was a strong proponent of European integration.","["", inspired by the liberal ideas of the french and american revolutions. the following napoleonic wars and first french empire ( 1804 – 1815 ), brought down the holy roman empire, enabled nationalism and following the congress of vienna, [ 19 ] the ideals of internationalism like with immanuel kant and european unity flourished across the continent, especially in the writings of wojciech jastrzebowski ( 1799 – 1882 ) [ 20 ] or giuseppe mazzini ( 1805 – 1872 ). [ 21 ] the term united states of europe ( french : etats - unis d'eur ope ) was used at that time by victor hugo ( 1802 – 1885 ) during a speech at the international peace congress held in paris in 1849 : a day will come when all nations on our continent will form a european brotherhood... a day will come when we shall see... the united states of america and the united states of europe face to face, reaching out for each other across the seas. [ 22 ] during the interwar period, the consciousness that national markets in europe were interdependent though confrontational, along with the observation of a larger and growing us market on the other side of the ocean, nourished the urge for the economic integration of"", '33 ] on 19 september 1946 in a much recognized speech winston churchill reiterated his calls since 1930 for a "" european union "" and "" council of europe "", at the university of zurich. after leaving office, churchill called as a civilian for a united states of europe. coincidentally [ 34 ] parallel to his speech the hertenstein congress in the lucerne canton was being held, resulting in the union of european federalists, [ 35 ] one of the then founded and later constituting members of the european movement. richard von coudenhove - kaler gi, who successfully established during the interwar period the oldest organization for european integration, the paneuropean union, founded in june 1947 the european parliamentary union ( epu ). to ensure germany could never threaten thefrom world war i to world war ii world war ii ( 1939 – 1945 ) aftermath ( 1945 – 1948 )', 'european leaders opposed deeper integration. the french president charles de gaulle, for instance, tried to strip the high authority ( now the european commission ) of its supranational aspirations by establishing a primacy of member states. he also attacked majority voting in the council of ministers by boycotting council meetings and paralysing co mmunity decision - making for several months. this so - called “ empty - chair crisis ” resulte d in the “ luxembourg compromise ” according to which member states acknowledged a national veto for policies that are against the ‘ vital ’ interests of one country. as a result actual vo ting in the council of ministers remained the exception and consensus the rule. in addition to the initiatives eventually leading to the eu, many other organisations originated in the post - war era, such as nato and the oecd ( for an overview see annex 1 ). 5 the ecsc expired in mid - 2001 after 50 years of existence.']",False,10,3,10,3,1.1975374221801758,0.48584067821502686,factual
What was the main argument of structuralists regarding the formation of the EU?,"I believe that the formation of the EU was driven by objective structural factors, such as international interdependence and the need for strong institutions to address policy challenges.","['showing ideas as causes : the origins of the european union craig parsons why does western europe, with its quasi - federal european union ( eu ), have international institutions that are so much more developed than those in otherregions? scholars give two main answers. for “ structuralists ” like andrew morav - csik and alan milward, the eu responded to objective structural imperatives. 1 international interdependence was particularly acute in postwar europe, so govern - ments built particularly strong institutions to meet policy challenges. for “ institu - tionalists ” in the tradition of ernst haas, structural imperatives may have driveninitial postwar institution building, but subsequent steps were heavily path - depen - dent. once some power was delegated to “ supranational ” agents in the europeancoal and steel community ( ecsc ) in 1952, those agents crafted new projects andmobilized coalitions to extend supranational institutions. from this “ spillover ” arosethe broader european economic community ( eec ) in 1958 — the direct foundationof today ’ s eu — and its later development. 2 although i accept insights from both approaches, i argue that neither explains why europeans chose this “ community ” europe over radically different alternativesin', 'the frankish empire at its greatest extent, ca. 814 adhistory of the european union the european union is a geo - political entity, created in 1993, covering a large portion of the european continent. it is founded upon numerous treaties and has under gone expansions and secessions that have taken it from six member states to 27, a majority of the states in europe. since the beginning of the institutionalised modern european integration in 1948, the development of the european union has been based on a supranational foundation that would "" make war unthinkable and materially impossible "" [ 1 ] [ 2 ] and reinforce democracy amongst its members [ 3 ] as laid out by robert schuman and other leaders in the schuman declaration ( 1950 ) and the europe declaration ( 1951 ). this principle was at the heart of the european coal and steel community ( ecsc ) ( 1951 ), the treaty of paris ( 1951 ), and later the treaty of rome ( 1957 ) which established the european economic community ( eec ) and the european atomic energy community ( eaec ). the maastricht treaty ( 1992 ) created the european union with its pillars system, including foreign and home affairs alongside the european communities. this in turn led to the', 'pre - christian greek, germanic, celtic, slavic and hungarian powers, khanates, or al - andalus and the sicilian emirate. apart from the ideas of federation, confederation, or customs union such as winston churchill\'s 1946 call for a "" united states of europe "", the original development of the european union was based on a supranational foundation that would "" make war unthinkable and materially impossible "" [ 1 ] [ 2 ] a peaceful means of some consolidation of european territories used to be provided by dynastic unions ; less common were country - level unions, such as the polish – lithuanian commonwealth and austro - hungarian empire. [ 15 ] development of eur ope as a r egion europe as a continent roman europes other europes ideas of eur opean unity befor e 1948']",False,10,3,10,3,1.3012452125549316,0.504858136177063,reasoning
