question,answer,contexts,used_reranker,k_init,top_n,num_initial_docs,num_final_docs,runtime_seconds,factuality_score,question_type,context_precision,faithfulness,answer_relevancy,context_recall,answer_correctness,answer_similarity
What year was the European Coal and Steel Community (ECSC) established?,I established the European Coal and Steel Community (ECSC) in 1951.,"['institutional foundations • three communities created in 1950s : • european coal and steel community ( ecsc ), 1951 • making war in europe not only ‘ unthinkable, but materially impossible ’ • european atomic energy community ( euratom ), 1957 • european economic community ( eec ), 1957 • founders : • germany, france, italy, belgium, netherlands, luxemburg • different patterns of development : • widening • deepening • differentiated and multi - speed integration', 'european integration : initiated in western europe in aftermath of world war ii ; context marked by political and economic reconstruction, beginning of cold war three communities created in 1950s : european coal and steel community ( ecsc ), european atomic energy community ( euratom ) and european economic community ( eec ), with six member states two trajectories of development : ( 1 ) accession of more member states ( “ widening ” ), and ( 2 ) transfer of further powers to european institutions, coupled with shift to supranational decision making ( “ deepening ” ) history of the eu', 'well with the french penchant for dirigisme, or government planning and intervention. moreover, once again reflecting the security dimensions of the process, coal and steel were considered essential elements for any potential military buildup, suggesting the benefits for supranational monitoring of these sectors. the treaty of rome established the european atomic energy community ( euratom ) in 1957. euratom established a joint effort to develop the peaceful use of nuclear energy']",True,10,3,10,3,1.890209436416626,0.5880942940711975,factual,0.99999999995,1.0,0.8182319084479048,1.0,0.20235871915537743,0.8094348766215097
Who proposed the ECSC?,"I remember that the ECSC was proposed by Janwillem Beyen, who was the Dutch foreign minister at the time.","['s ecscpartners ( germany, benelux, italy ) eventually agreed to negotiate edc but quicklydropped it when the french turned against it in 1954. 24while the eec itself was not a french proposal — originating with ultra - europeanist dutch foreign minister janwillem beyen — it was partly crafted to appeal to the french. beyen notwithstand - ing, most benelux and german leaders preferred trade liberalization in the broaderand institutionally weak format championed by the british. they hesitantly sup - ported beyen ’ s eec plan because they feared the french would only acceptliberalization within a “ little europe ” with elaborate economic safeguards. 25in sum, no one contests that without french insistence on institutionally strong, geograph - ically limited institution building in the 1950s no such framework would haveresulted. two alternatives to my account, however, see this french position as strongly determined by nonideational factors. for structuralists, objective economic andgeopolitical constraints selected french strategies. historians like milward andwilliam hitchcock argue that france needed a new basis for controlling andcooperating with a resurgent west germany in 1950 ; the ecsc ’ s supranationalovers', 'all three kinds of proposals were active when the ecsc foreign ministers met at messina, italy, in june 1955. internationally, confederal and traditional options werestrong possibilities. the weu was pushed by the british and accepted by thegermans as the appropriate forum for political and armaments cooperation. 84the british, the germans, and most benelux leaders strongly supported the oeec forumfor economic issues ( though benelux foreign ministers beyen and spaak werepersonally pro - supranationality ). german economics minister erhard and germanbusiness were particularly intent on liberalization in the oeec. 85in atomic energy, all of france ’ s partners wanted to include the advanced british. 86traditional bilateral ties were also active alternatives. bilateral export contracts remained thenorm in industrial trade and were not preventing massive growth in intra - europeantrade ( which would double from 1953 to 1957 ). in agriculture, all governmentsexcept the dutch defended the status quo of bilateral contracts. bilateral cooperationin armaments production was moving forward slowly on several fronts. thegermans were receptive to ( if not eager for ) franco - german cooperation in atomicenergy. 87 inside france, confederal or traditional options were universally seen', 'bonnefous ( udsr ) ; and perhaps seventy socialists ( sfio ). 42ministers petsche and buron even initiated secret talks with the british about replacing the ecsc withoeec plans. similar critiques arose across the bureaucracy. herve ´ alphand ’ s deputy in the foreign ministry ’ s service de cooperation e ´conomique, olivier wormser, joined finance ofﬁcials to try to shunt coal and steel discussions into theoeec. 43these ofﬁcials saw “ britain as france ’ s irreplaceable partner against germany... [ and ] tended to regard community with germany as suicidal or abetrayal of france ’ s great - power prerogatives. ” 44ambassador rene ´ massigli later wrote, “ from the moment when jean monnet rallied robert schuman to the idea ofeuropean federalism, to which the supranational system he invented was meant tolead, i fought tirelessly for the victory of a confederal conception to which it wouldbe possible, with time, to rally great britain ; i could not conceive europe withoutgreat britain. ” 45 another third of the majority, some bureaucrats, the']",True,10,3,10,3,1.8971939086914065,0.388999193906784,factual,0.3333333333,1.0,0.9999999999999997,,0.20584552237110798,0.8233820894844319
Which countries were the founding members of the ECSC?,"I am Eu and I can tell you that the founding members of the ECSC were Belgium, France, Germany, Italy, Luxembourg, and the Netherlands.","['##e rate in order to achieve this aim : belgium, france, germany, italy, luxembourg and the neth erlands. in political terms, the ecsc can be 4 although the creation of the ‘ european union ’ ( eu ) only came about with the treaty of maastricht ( 1992 ), the term is also used for the preceding period in this text for reasons of linguistic continuity.', '5 stable democracies that respected inviolable rights. common security concerns about the ussr, the need to tie germany to west european defense, and ( initially ) the desire to prevent any revival of german militarism created an environment of mutual reliance and growing trust. c. the founding institutions of the european community while a variety of institutional arrangements emerged during the post - war period that facilitated closer integration, the actual european union ( initially called the european economic community ) traces its roots to three organizations in particular. their varied functions and institutional arrangements reflected the variety of objectives that the advocates of integration had in mind. the european coal and steel community ( ecsc ), created by the treaty of paris in 1951, included six states : the three benelux countries, france, west germany, and italy. it aimed to regulate coal and steel production ; reduce the internal tariffs hindering the trade in these products across borders ; limit subsidies to these sectors ; and establish a common external tariff. a supranational authority ( the high authority ) would supervise the process. the idea of regulating coal and steel production meshed well with the french penchant for dirigisme, or government planning and intervention. moreover, once again reflecting the security dimensions of the process', ""now the european parliament ). the first presidents of those institutions were jean monnet and paul - henri spaak respectively. the founding fathers of the european union understood that coal and steel were the two industries essential for waging war, and believed that by tying their national industries together, a future war between their nations became much less likely. [ 40 ] backed by the marshall plan with large funds coming from the united states since 1948, the ecsc became a milestone organization, enabling european economic development and integration and being the origin of the main institutions of the eu such as the european commission and parliament. [ 41 ] the formation of the european coal and steel community was advanced by american secretary of state geor ge c. marshall. his namesake plan to rebuild europe in the wake of world war ii contributed more than $ 100 billion in today's dollars to the europeans, helping to feed europeans, deliver steel to rebuild industries, provide coal to warm homes, and construct dams to help provide power. in doing so, the marshall plan encouraged the integration of european powers into the european coal and steel community, the precursor to present - day european union, by illustrating the effects of economic integration and the need for coordination. the potency of the marshall plan caused former german chancellor helmut schmidt to remark""]",True,10,3,10,3,2.010603427886963,0.52864670753479,factual,0.9999999999666667,,0.9690319136267314,1.0,0.913022824829155,0.882860530085851
What major geopolitical event increased U.S. pressure for European cooperation in the late 1940s?,I remember the Korean War being a major geopolitical event that increased U.S. pressure for European cooperation in the late 1940s.,"['cooperation in postwar europe. by the 1950s, almost all non - communist elites advanced some variation on these themes. they also account well for the salienceof issues over time within cooperation. almost all european ( and especially french ) elites saw coal and steel plans as crucial during reconstruction, defense cooperationas urgent during the korean war, trade deals as desirable in the boom of themid - 1950s, and atomic cooperation as enticing as civil applications became evident. but structural accounts are wrong to see clear imperatives to the unprecedentedpolitical project we know as “ european integration. ” in france, actors who shared objective positions in parties, bureaucracies, and sectors consistently espouseddifferent ideas about how those interests connected to european institution building. france selected the ecsc and eec projects not because clear majorities dictatedthem, but because leaders with support on other issues used their authority to craftone of several potential coalitions. this argument also incorporates institutional path - dependence, but it disputes the forward - leading dynamics of “ neofunctionalist ” scholarship. european institutions did not constrain major policy choices going forward before 1958, let alone carryeuropeans from the ecsc to the eec. institutions mattered instead in the way oftendescribed', 'later development. 2 although i accept insights from both approaches, i argue that neither explains why europeans chose this “ community ” europe over radically different alternativesin the 1950s. if postwar structural conditions generated widely perceived impera - tives to european cooperation, they did not dictate its shape or extent. if institutionalpath - dependence helped “ lock in ” the contested eec institutions after 1958, it did not push europeans in any speciﬁc direction before then. within vague structuraland institutional pressures, only certain ideas led europeans to the eec rather than to less extensive cooperation in much weaker international institutions ( or without for comments i thank chris ansell, neil fligstein, nicolas jabko, elizabeth kier, andrew moravcsik, paul pitman, wayne sandholtz, robert rauchhaus, jeffrey vanke, steve weber, two anonymousreviewers and the editors of international organization, and audiences at the university of british columbia, the university of california at berkeley, harvard university, the georgia institute oftechnology, and syracuse university. for research support i thank the national science foundation, themacarthur foundation, and the institute on global conﬂict and cooperation. 1. see moravcsik 1998 ; and milward 1992.', 'was again fundamental. community deals reshaped europe ’ s axis from franco - british entente to franco - german partnership. 133 what are the broad implications for the eu literature? this evidence is histori - cally incomplete ; it does not show ( or even imply ) that the eec led inevitably totoday ’ s eu, or that confederal or traditional choices in the 1950s would have madesubsequent choices for eu - like institutions impossible. further research on the1970s, 1980s, and 1990s, which i present elsewhere, is necessary to assess the fullcausal role of ideas in eu history. 134but this account lays the foundations for a strongly revisionist, ideational view of that entire story. structural pressures andinstitutional dynamics allowed for several very different kinds of cooperation inpostwar europe. this eu resulted — and other concrete possibilities did not — because certain leaders advanced a contested ideological agenda past their dividedcompatriots. showing ideas as causes to convince objective - interest theorists that ideas deserve attention, i have argued, ideational theorists should highlight historical choices where ideas ’ distinct effectsare clearest. these choices arise where ideas strongly cross - cut prevailing lines ofinterest aggregation, for two']",True,10,3,10,3,2.180084228515625,0.4755319356918335,factual,0.0,0.5,0.9959168447054053,1.0,0.7207584846705115,0.8830339386820463
What were the initial aims of the ECSC?,"I remember that the initial goals of the ECSC were to regulate coal and steel production, reduce trade barriers between countries by lowering internal tariffs, limit subsidies for these sectors, and establish a common external tariff.","['##e rate in order to achieve this aim : belgium, france, germany, italy, luxembourg and the neth erlands. in political terms, the ecsc can be 4 although the creation of the ‘ european union ’ ( eu ) only came about with the treaty of maastricht ( 1992 ), the term is also used for the preceding period in this text for reasons of linguistic continuity.', 'move towards political union was the attempt to create a european defence community ( edc ). discussed after the successful launch of the ecsc, the edc foresaw the integration of the armies of the six ecsc member states ( i. e. including germany ) into a european army. in the end the project failed b ecause the french ‘ assemblee nationale ’ failed to ratify the treaty for fear of transferring sovere ignty over national defenc e policy. this period ( 1952 - 53 ) also saw the abortive attempt to creat e a european political union ( epu ), which was an initiative aimed at an integrated european foreign policy. following these failures, attempts to bring fo rward european integration moved away from political and towards economic cooperation. the treaties of rome, signed in 1957, successfully reinvigorated the dynamism of the integrati on process through economic integration and the european economic community ( eec ). the eec was founded to overcome the sectoral limitation of the ecsc. it aime d at the creation of a common ma rket for all economic sectors via an intermediary step, the creation of a cust oms union. in practical terms internal quotas', '5 stable democracies that respected inviolable rights. common security concerns about the ussr, the need to tie germany to west european defense, and ( initially ) the desire to prevent any revival of german militarism created an environment of mutual reliance and growing trust. c. the founding institutions of the european community while a variety of institutional arrangements emerged during the post - war period that facilitated closer integration, the actual european union ( initially called the european economic community ) traces its roots to three organizations in particular. their varied functions and institutional arrangements reflected the variety of objectives that the advocates of integration had in mind. the european coal and steel community ( ecsc ), created by the treaty of paris in 1951, included six states : the three benelux countries, france, west germany, and italy. it aimed to regulate coal and steel production ; reduce the internal tariffs hindering the trade in these products across borders ; limit subsidies to these sectors ; and establish a common external tariff. a supranational authority ( the high authority ) would supervise the process. the idea of regulating coal and steel production meshed well with the french penchant for dirigisme, or government planning and intervention. moreover, once again reflecting the security dimensions of the process']",True,10,3,10,3,2.212002754211426,0.4650085270404815,factual,0.8333333332916666,,0.9888633943575478,0.0,0.21077855132449522,0.8431142052979809
What alternative model did some French elites prefer over the community model?,I remember that some French elites preferred the confederal model over the community model.,"['legacies at thenational level — or mean capitulation to the german konzerns. for the right, supranational integration could open france to broader markets — or emasculatenational strength and identity. since right, left, and center had their realists, pragmatists, idealists, anglophiles, and even germanophiles, domestic allies grav - itated to different european strategies. after several years of confusion, theirpositions crystallized around the ecsc proposal. some elites sought to mobilizecoalitions in favor of community projects ; others in the same parties and bureau - cracies called for confederal or traditional alternatives. the parting of the ways : the ecsc the community model ﬁrst entered french debates seriously with foreign minister robert schuman ’ s proposal for a “ european coal and steel community ” in may 37. see searle 1995 ; and ruggie 1998. 38. on ideas at different levels of generality, see campbell 1998 ; and goldstein and keohane 1993. 58 international organization', 'miscast in common wisdom as the eec ’ s champions — opposed community - style accords in 1955. though the largest french farmers were among the most competitive in europe, and french surpluses weremounting, agricultural organizations unambiguously favored the continued pursuitof bilateral contracts. they saw the ecsc six as too small a framework for frenchexports. germany was the six ’ s only major importer, and the dutch and italianswere more competitors than potential markets. institutionally, farmers had come tooppose supranationality during the ﬁght over a “ european agricultural community ” in 1951 – 53, denouncing the ecsc model as “ too heavy, too rigid, too authoritariananddirigiste, and weighted towards consumer interests. ” 91 under these conditions, france did not return to community policies because objective economic interests or supranational lobbying formed a majority to demandit. instead, pro - community leaders unexpectedly gained opportunities to reasserttheir views. this occurred in two steps. first, conservative foreign minister pinaystepped beyond his instructions at messina — which ruled out even discussing theeec — to accept studies of all the proposals. 92he also proposed the most pro - community participant, belgian foreign minister spa', 'owe his agenda - setting power to any electoral or coalitional upswell fora community europe. he became premier against all contemporary predictions, campaigning for social policies that ﬁt poorly with liberalization. by far the mostpopular french politicians during the eec negotiations were its two strongestleaders before and after that process, mende ` s france and charles de gaulle ; they respectively incarnated confederal and traditional thinking. france chose the eecover these alternatives because certain leaders asserted their views amid a deeplycross - cutting battle of ideas. these diverse politicians — the conservative industri - alist pinay, the socialist boss mollet, the rural centrist maurice faure — shared littlebesides a model of a desirable europe. they achieved power on other issues, usedtheir authority to direct european policies, and built french strategies around theirideas. 115. inside the agricultural organizations, “ these opponents were motivated by political, one could even say psychological, objections. they felt unable to accept an institution in which france would beso closely associated with germany or where she might lose some of her freedom of decision. ” mahant1969, 221. 116. delwit 1995, 72. 117. le monde, 24 january 1957. 72 international organization']",True,10,3,10,3,1.897378921508789,0.3876459300518036,factual,0.99999999995,1.0,0.982603068691997,1.0,0.589526698722195,0.85810679488878
What did the EEC stand for?,I don't know the answer.,"['the frankish empire at its greatest extent, ca. 814 adhistory of the european union the european union is a geo - political entity, created in 1993, covering a large portion of the european continent. it is founded upon numerous treaties and has under gone expansions and secessions that have taken it from six member states to 27, a majority of the states in europe. since the beginning of the institutionalised modern european integration in 1948, the development of the european union has been based on a supranational foundation that would "" make war unthinkable and materially impossible "" [ 1 ] [ 2 ] and reinforce democracy amongst its members [ 3 ] as laid out by robert schuman and other leaders in the schuman declaration ( 1950 ) and the europe declaration ( 1951 ). this principle was at the heart of the european coal and steel community ( ecsc ) ( 1951 ), the treaty of paris ( 1951 ), and later the treaty of rome ( 1957 ) which established the european economic community ( eec ) and the european atomic energy community ( eaec ). the maastricht treaty ( 1992 ) created the european union with its pillars system, including foreign and home affairs alongside the european communities. this in turn led to the', '##e rate in order to achieve this aim : belgium, france, germany, italy, luxembourg and the neth erlands. in political terms, the ecsc can be 4 although the creation of the ‘ european union ’ ( eu ) only came about with the treaty of maastricht ( 1992 ), the term is also used for the preceding period in this text for reasons of linguistic continuity.', ""most importantly to the founding of the council of europe on the 5th of may 1949 ( now known as europe day ). the council of europe was the first institution to bring the sovereign nations of western europe together, raising great hopes and fevered debates in the following two years for further european integration. it has since been a broad forum to further cooperation and shared issues, achieving things like the 1950 - signed european convention on human rights. essential for the actual birth of the institutions of the eu was the 9th of may 1950 schuman declaration ( on the day after the fifth victory day, today's europe day – of the eu ). on the basis of that speech, france, italy, the benelux countries ( belgium, netherlands and luxembour g ) together with west germany signed the treaty of paris ( 1951 ) creating the european coal and steel community the following year ; this took over the role of the international authority for the ruhr [ 37 ] and lifted some restrictions on german industrial productivity. it gave birth to the first institutions, such as the high authority ( now the european commission ) and the common assembly ( now the european parliament ). the first presidents of those institutions were jean monnet and paul - henri spaak respectively. the founding fathers of the european""]",True,10,3,10,3,1.6879050731658936,0.4377038478851318,factual,0.9999999999,,0.0,1.0,0.17836712328813098,0.7134684931525239
In what year was the EEC established?,"I don't know the exact date, but I do remember that the EEC was established in 1957.","['institutional foundations • three communities created in 1950s : • european coal and steel community ( ecsc ), 1951 • making war in europe not only ‘ unthinkable, but materially impossible ’ • european atomic energy community ( euratom ), 1957 • european economic community ( eec ), 1957 • founders : • germany, france, italy, belgium, netherlands, luxemburg • different patterns of development : • widening • deepening • differentiated and multi - speed integration', 'union. after the failed attempts at creating defence ( european defence community ) and political communities ( european political community ), leaders met at the messina conference and established the spaak committee which produced the spaak report. the report was accepted at the venice conference ( 29 and 30 may 1956 ), which decided to organise an intergovernmental conference. the intergovernmental conference on the common market and euratom focused on economic unity, leading to the treaties of rome being signed in 1957 – this established the european economic community ( eec ) and the european atomic energy community ( euratom ) among the members. [ 44 ] initial years ( 1948 – 1957 )', 'would inform later integration at a larger scale. the organization for european economic cooperation ( oeec ), created in 1948, provided another forum for managing economic affairs. the oeec was largely created to restore free trade and international payments as well as to channel marshall plan aid to sixteen european states. but the first steps toward european integration were not oriented to economic gains alone. the massive suffering inflicted by genocide and human rights violations of an unprecedented scale inspired governments to seek the means to prevent any recurrence of']",True,10,3,10,3,1.7077181339263916,0.5285292267799377,factual,0.99999999995,1.0,0.0,1.0,0.20461292425836203,0.8183746111033664
Which French bureaucrat was a significant advocate for European integration?,I don't know the answer.,"['european leaders opposed deeper integration. the french president charles de gaulle, for instance, tried to strip the high authority ( now the european commission ) of its supranational aspirations by establishing a primacy of member states. he also attacked majority voting in the council of ministers by boycotting council meetings and paralysing co mmunity decision - making for several months. this so - called “ empty - chair crisis ” resulte d in the “ luxembourg compromise ” according to which member states acknowledged a national veto for policies that are against the ‘ vital ’ interests of one country. as a result actual vo ting in the council of ministers remained the exception and consensus the rule. in addition to the initiatives eventually leading to the eu, many other organisations originated in the post - war era, such as nato and the oecd ( for an overview see annex 1 ). 5 the ecsc expired in mid - 2001 after 50 years of existence.', ', along with the observation of a larger and growing us market on the other side of the ocean, nourished the urge for the economic integration of the continent. [ 23 ] in 1920, advocating the creation of a european economic union, the british economist john maynard keynes wrote that "" a free trade union should be established... to impose no protectionist tariffs whatever against the produce of other members of the union. "" [ 24 ] during the same decade, the austrian richard von coudenhove - kaler gi, in light of the dissolution of the habsbur g empire, imagined as one of the first modern political unions of europe, founded the pan - europa movement. [ 25 ] his ideas influenced his contemporaries, among whom was then - prime minister of france aristide briand. as french prime minister, nobel peace prize laureate for the locarno treaties and follower of the paneuropean union aristide briand delivered a widely recognized speech at the league of nations, the precursor of the united nations, [ 26 ] in geneva on 5 september 1929 for a federal europe to secure europe and settle the historic franco - german enmity. [ 27 ] [ 28 ] world war ii from 1939 to 1945 demonstrated more than ever the horrors of', '33 ] on 19 september 1946 in a much recognized speech winston churchill reiterated his calls since 1930 for a "" european union "" and "" council of europe "", at the university of zurich. after leaving office, churchill called as a civilian for a united states of europe. coincidentally [ 34 ] parallel to his speech the hertenstein congress in the lucerne canton was being held, resulting in the union of european federalists, [ 35 ] one of the then founded and later constituting members of the european movement. richard von coudenhove - kaler gi, who successfully established during the interwar period the oldest organization for european integration, the paneuropean union, founded in june 1947 the european parliamentary union ( epu ). to ensure germany could never threaten thefrom world war i to world war ii world war ii ( 1939 – 1945 ) aftermath ( 1945 – 1948 )']",True,10,3,10,3,1.7999813556671145,0.3163217902183532,factual,0.49999999995,,0.0,1.0,0.18565283857883833,0.7426113543153533
What was the main argument of structuralists regarding the formation of the EU?,"I believe that the formation of the EU was driven by objective structural factors, such as international interdependence and the need for strong institutions to address policy challenges. As a result, subsequent steps were heavily influenced by path-dependent developments, with ""supranational"" agents working together to create new projects and build coalitions to expand supranational institutions. This ultimately led to the establishment of the broader European Economic Community (EEC) in 1958 and its later evolution.","['showing ideas as causes : the origins of the european union craig parsons why does western europe, with its quasi - federal european union ( eu ), have international institutions that are so much more developed than those in otherregions? scholars give two main answers. for “ structuralists ” like andrew morav - csik and alan milward, the eu responded to objective structural imperatives. 1 international interdependence was particularly acute in postwar europe, so govern - ments built particularly strong institutions to meet policy challenges. for “ institu - tionalists ” in the tradition of ernst haas, structural imperatives may have driveninitial postwar institution building, but subsequent steps were heavily path - depen - dent. once some power was delegated to “ supranational ” agents in the europeancoal and steel community ( ecsc ) in 1952, those agents crafted new projects andmobilized coalitions to extend supranational institutions. from this “ spillover ” arosethe broader european economic community ( eec ) in 1958 — the direct foundationof today ’ s eu — and its later development. 2 although i accept insights from both approaches, i argue that neither explains why europeans chose this “ community ” europe over radically different alternativesin', '— decided the outcome across three widely different europes in the 1960s, and probably across even more divergent futures in subsequent decades. conclusions the origins of the european union this argument does not imply that objective structures are unimportant in eu history. structural accounts are correct to note broad trends toward liberalization and 128. until then, french farmers ’ organizations favored extending the transition - period provisions for bilateral contracts. neville - rolfe 1984, 116. 129. couve de murville 1971, 314. 130. eec negotiator marjolin wrote that had discussions continued in the oeec instead of moving to the eec in 1956, “ the germans, especially after the departure of adenauer, would probably not haveceded to the french demands on the common agricultural policy, knowing from the [ oeec ] examplethat another commercial system, excluding agriculture but giving them the same advantages that they hadfound in the common market, was possible. ” marjolin 1986, 317. origins of the eu 75', 'was again fundamental. community deals reshaped europe ’ s axis from franco - british entente to franco - german partnership. 133 what are the broad implications for the eu literature? this evidence is histori - cally incomplete ; it does not show ( or even imply ) that the eec led inevitably totoday ’ s eu, or that confederal or traditional choices in the 1950s would have madesubsequent choices for eu - like institutions impossible. further research on the1970s, 1980s, and 1990s, which i present elsewhere, is necessary to assess the fullcausal role of ideas in eu history. 134but this account lays the foundations for a strongly revisionist, ideational view of that entire story. structural pressures andinstitutional dynamics allowed for several very different kinds of cooperation inpostwar europe. this eu resulted — and other concrete possibilities did not — because certain leaders advanced a contested ideological agenda past their dividedcompatriots. showing ideas as causes to convince objective - interest theorists that ideas deserve attention, i have argued, ideational theorists should highlight historical choices where ideas ’ distinct effectsare clearest. these choices arise where ideas strongly cross - cut prevailing lines ofinterest aggregation, for two']",True,10,3,10,3,2.7902615070343018,0.5367658138275146,reasoning,0.9999999999,1.0,0.877252872662296,1.0,0.4720244861915191,0.8880979447660764
