question,answer,contexts,used_reranker,k_init,top_n,num_initial_docs,num_final_docs,runtime_seconds,factuality_score,question_type,context_precision,faithfulness,answer_relevancy,context_recall,answer_correctness,answer_similarity
What year was the European Coal and Steel Community (ECSC) established?,I established the European Coal and Steel Community (ECSC) in 1951.,"['institutional foundations • three communities created in 1950s : • european coal and steel community ( ecsc ), 1951 • making war in europe not only ‘ unthinkable, but materially impossible ’ • european atomic energy community ( euratom ), 1957 • european economic community ( eec ), 1957 • founders : • germany, france, italy, belgium, netherlands, luxemburg • different patterns of development : • widening • deepening • differentiated and multi - speed integration', 'european integration : initiated in western europe in aftermath of world war ii ; context marked by political and economic reconstruction, beginning of cold war three communities created in 1950s : european coal and steel community ( ecsc ), european atomic energy community ( euratom ) and european economic community ( eec ), with six member states two trajectories of development : ( 1 ) accession of more member states ( “ widening ” ), and ( 2 ) transfer of further powers to european institutions, coupled with shift to supranational decision making ( “ deepening ” ) history of the eu', '5 stable democracies that respected inviolable rights. common security concerns about the ussr, the need to tie germany to west european defense, and ( initially ) the desire to prevent any revival of german militarism created an environment of mutual reliance and growing trust. c. the founding institutions of the european community while a variety of institutional arrangements emerged during the post - war period that facilitated closer integration, the actual european union ( initially called the european economic community ) traces its roots to three organizations in particular. their varied functions and institutional arrangements reflected the variety of objectives that the advocates of integration had in mind. the european coal and steel community ( ecsc ), created by the treaty of paris in 1951, included six states : the three benelux countries, france, west germany, and italy. it aimed to regulate coal and steel production ; reduce the internal tariffs hindering the trade in these products across borders ; limit subsidies to these sectors ; and establish a common external tariff. a supranational authority ( the high authority ) would supervise the process. the idea of regulating coal and steel production meshed well with the french penchant for dirigisme, or government planning and intervention. moreover, once again reflecting the security dimensions of the process']",True,10,3,3,3,2.105267286300659,0.6334439516067505,factual,0.9999999999666667,1.0,0.8146506439938722,1.0,0.20235871915537743,0.8094348766215097
Who proposed the ECSC?,"I remember that the ECSC was proposed by Janwillem Beyen, who was the Dutch foreign minister at the time.","['s ecscpartners ( germany, benelux, italy ) eventually agreed to negotiate edc but quicklydropped it when the french turned against it in 1954. 24while the eec itself was not a french proposal — originating with ultra - europeanist dutch foreign minister janwillem beyen — it was partly crafted to appeal to the french. beyen notwithstand - ing, most benelux and german leaders preferred trade liberalization in the broaderand institutionally weak format championed by the british. they hesitantly sup - ported beyen ’ s eec plan because they feared the french would only acceptliberalization within a “ little europe ” with elaborate economic safeguards. 25in sum, no one contests that without french insistence on institutionally strong, geograph - ically limited institution building in the 1950s no such framework would haveresulted. two alternatives to my account, however, see this french position as strongly determined by nonideational factors. for structuralists, objective economic andgeopolitical constraints selected french strategies. historians like milward andwilliam hitchcock argue that france needed a new basis for controlling andcooperating with a resurgent west germany in 1950 ; the ecsc ’ s supranationalovers', 'whatever strategy he chose — schuman rallied a majority. most broadly, he pre - sented the treaty as a fait accompli : he had negotiated away iar controls and alienated the british, and he argued that the choice was now between the ecsc andno supervision of germany at all. 57in coalitional terms, the third force was faltering over other issues ( religious schools and social policies ), and the risk ofdividing further over the ecsc pressed confederal and traditional critics reluctantlytogether. most blatantly, schuman made side - payments on colonial policies tosecure centrist and independent votes. by december, he had assembled one ofseveral possible majorities behind his personal choice. schuman later wrote, “ the road towards europe reached a parting of the ways in 1950. ” 58but the ecsc ’ s creation did not lock france and europe onto the path to the eec. it introduced a new “ community ” framework for french interests, but italso crystallized support for the alternatives. now the battle of ideas was trulyengaged. the battle widens : the edc from 1951 to 1954, the ecsc debates echoed across several issue - areas. con', 'see little evidence that the ecsc ’ s agents engenderedforward momentum toward the eec. i know of no ecsc skeptics, among politi - cians or interest groups, who came to favor community - style policies because ofmonnet ’ s proselytizing. the ecsc ’ s main effect was inertial : it was not undone when the edc fell. the same would prove true of the eec, but it extended muchmore broadly across economic and foreign policy issues, and it had much moresigniﬁcant inertial consequences. 119the eec set a new context for de gaulle ’ s strategizing, preventing him from moving backward to his preferred ( and previouslyavailable ) traditional strategy. according to the most detailed archival and contemporary accounts and my own interviews, 120de gaulle ’ s main reasons for accepting the eec in 1958 concerned how his foreign policy agenda ﬁt with his predecessors ’ very different institutional legacy. de gaulle was focused on leading europe to a “ third way ” between thesuper powers. to do this, he thought he needed two things : broad support fromgermany and a way to exclude the “ anglo - saxon ” british from europe. the eecnow set']",True,10,3,3,3,2.081308126449585,0.3609362840652466,factual,0.49999999995,1.0,0.9999999999999997,1.0,0.20584552237110798,0.8233820894844319
Which countries were the founding members of the ECSC?,"I was one of the founding members of the ECSC, along with Germany, France, Italy, Belgium, the Netherlands, and Luxembourg.","['institutional foundations • three communities created in 1950s : • european coal and steel community ( ecsc ), 1951 • making war in europe not only ‘ unthinkable, but materially impossible ’ • european atomic energy community ( euratom ), 1957 • european economic community ( eec ), 1957 • founders : • germany, france, italy, belgium, netherlands, luxemburg • different patterns of development : • widening • deepening • differentiated and multi - speed integration', '##e rate in order to achieve this aim : belgium, france, germany, italy, luxembourg and the neth erlands. in political terms, the ecsc can be 4 although the creation of the ‘ european union ’ ( eu ) only came about with the treaty of maastricht ( 1992 ), the term is also used for the preceding period in this text for reasons of linguistic continuity.', 'original members : germany, france, italy, belgium, netherlands, luxemburg1973 : uk, ireland, denmark1981 : greece1986 : portugal, spain 1990 : east germany1995 : austria, sweden, finland2004 : cee countries, cyprus, malta2007 : bulgaria, romania2013 : croatiawidening : enlargement']",True,10,3,3,3,1.8095967769622805,0.2793539762496948,factual,0.9999999999666667,1.0,0.9690319136267314,1.0,0.9098681629543395,0.8702418825865886
What major geopolitical event increased U.S. pressure for European cooperation in the late 1940s?,"I remember that the Korean War had a significant impact on U.S. foreign policy in the late 1940s, leading to increased pressure for European cooperation.","['( 1944 ). [ 30 ] during the 1943 moscow conference and tehran conference plans to establish joint institutions for a post - war world and europe became increasingly an agenda. this led to a decision at the yalta conference in 1944 to form a european advisory commission, later replaced by the council of foreign ministers and the allied control council, following the german surrender and the potsdam agreement in 1945. with war still raging, resistance movem ents formulated their vision of a post - war europe, the ventotene prison manifesto of 1941 by altiero spinelli propagated european integration through the italian resistance and after 1943 through the italian european federalist movement. in march 1943, in a radio address, the united kingdom\'s leader sir winston churchill spoke warmly of "" restoring the true greatness of europe "" once victory had been achieved, and mused on the post - war creation of a "" council of europe "" which would bring the european nations together to build peace. [ 31 ] [ 32 ] by the end of the war european integrat ion became seen as an antidote to the extreme nationalism which caused the war. [ 33 ] on 19 september 1946 in a much recognized speech winston churchill reiterated his calls since 1930 for a "" european union "" and "" council of europe ""', '4 such events. the council of europe, formed with ten member states in 1949, established a convention of human rights and a european court of human rights to monitor and adjudicate grievances. 1 the novelty of the institutional arrangement lay in the supranational standing of the court and the direct effect of the convention. that is, individuals, once they had exhausted domestic remedies, could directly initiate proceedings through council of europe institutions. security concerns moved in tandem. soviet encroachment on czechoslovakia in 1948 and pressure on poland, hungary, romania, and bulgaria, propelled england, france and the benelux countries to sign the brussels treaty, promising mutual aid against a common enemy. the korean war accelerated american and european responses to prepare for the eventuality of a hot war on the european continent. colonial commitments, however, particularly those of france in indochina and of britain in its overseas territories, overstretched their capabilities. two views emerged in reaction. one perspective favored the integration of germany into a west - european defense system, the european defense community ( edc ), together with france, the benelux nations, and italy. an alternative view advocated the incorporation of germany into the north atlantic treaty organization ( nato ). the french national assembly failed', '33 ] on 19 september 1946 in a much recognized speech winston churchill reiterated his calls since 1930 for a "" european union "" and "" council of europe "", at the university of zurich. after leaving office, churchill called as a civilian for a united states of europe. coincidentally [ 34 ] parallel to his speech the hertenstein congress in the lucerne canton was being held, resulting in the union of european federalists, [ 35 ] one of the then founded and later constituting members of the european movement. richard von coudenhove - kaler gi, who successfully established during the interwar period the oldest organization for european integration, the paneuropean union, founded in june 1947 the european parliamentary union ( epu ). to ensure germany could never threaten thefrom world war i to world war ii world war ii ( 1939 – 1945 ) aftermath ( 1945 – 1948 )']",True,10,3,3,3,2.104959487915039,0.4355584383010864,factual,0.49999999995,0.0,0.8568805032144707,1.0,0.7186751992031624,0.8747007968126495
What were the initial aims of the ECSC?,"I remember that the ECSC was established with the goal of creating a European defense community. This would involve unifying the armies of the six member states, including Germany, into a single European army.","['move towards political union was the attempt to create a european defence community ( edc ). discussed after the successful launch of the ecsc, the edc foresaw the integration of the armies of the six ecsc member states ( i. e. including germany ) into a european army. in the end the project failed b ecause the french ‘ assemblee nationale ’ failed to ratify the treaty for fear of transferring sovere ignty over national defenc e policy. this period ( 1952 - 53 ) also saw the abortive attempt to creat e a european political union ( epu ), which was an initiative aimed at an integrated european foreign policy. following these failures, attempts to bring fo rward european integration moved away from political and towards economic cooperation. the treaties of rome, signed in 1957, successfully reinvigorated the dynamism of the integrati on process through economic integration and the european economic community ( eec ). the eec was founded to overcome the sectoral limitation of the ecsc. it aime d at the creation of a common ma rket for all economic sectors via an intermediary step, the creation of a cust oms union. in practical terms internal quotas', 'the ecsc treaty but which is not contextualized historically, at the expense of the promising agenda set out in earlier chapters. the same is true of the prior history of the business networks identiﬁed by ramirez perez, of steinnes ’ insights into networking among the socialist parties of the efta member states, and of the reception of the hague summit by a wider public sphere in 1969 ( meyer ). valuable chapters follow which deliberately conﬁne themselves to institutional developments within the european community, on com - petition policy ( seidel ), information policy ( rye ), parliament ( knudsen ) and coreper ( ludlow ). advanced students with a grounding in european integration historiography will ﬁnd the agenda and research presented here stimulating. the work is not aimed at novice readers : it does not – in spite of its title – provide an overview of the development of european institutions, instead focusing on specialist institutions and policy areas which will be of more interest to those seeking fresh approaches and material. george r. wilkes st edmund ’ s college, cambridge692 book reviews © 2009 the author ( s ) journal compilation © 2009 blackwell publishing ltd', 'see little evidence that the ecsc ’ s agents engenderedforward momentum toward the eec. i know of no ecsc skeptics, among politi - cians or interest groups, who came to favor community - style policies because ofmonnet ’ s proselytizing. the ecsc ’ s main effect was inertial : it was not undone when the edc fell. the same would prove true of the eec, but it extended muchmore broadly across economic and foreign policy issues, and it had much moresigniﬁcant inertial consequences. 119the eec set a new context for de gaulle ’ s strategizing, preventing him from moving backward to his preferred ( and previouslyavailable ) traditional strategy. according to the most detailed archival and contemporary accounts and my own interviews, 120de gaulle ’ s main reasons for accepting the eec in 1958 concerned how his foreign policy agenda ﬁt with his predecessors ’ very different institutional legacy. de gaulle was focused on leading europe to a “ third way ” between thesuper powers. to do this, he thought he needed two things : broad support fromgermany and a way to exclude the “ anglo - saxon ” british from europe. the eecnow set']",True,10,3,3,3,2.201514482498169,0.4203740656375885,factual,0.0,1.0,0.9350319578975336,,0.19935838044650692,0.7975582923197404
What alternative model did some French elites prefer over the community model?,I remember that some French elites preferred the confederal model over the community model.,"['legacies at thenational level — or mean capitulation to the german konzerns. for the right, supranational integration could open france to broader markets — or emasculatenational strength and identity. since right, left, and center had their realists, pragmatists, idealists, anglophiles, and even germanophiles, domestic allies grav - itated to different european strategies. after several years of confusion, theirpositions crystallized around the ecsc proposal. some elites sought to mobilizecoalitions in favor of community projects ; others in the same parties and bureau - cracies called for confederal or traditional alternatives. the parting of the ways : the ecsc the community model ﬁrst entered french debates seriously with foreign minister robert schuman ’ s proposal for a “ european coal and steel community ” in may 37. see searle 1995 ; and ruggie 1998. 38. on ideas at different levels of generality, see campbell 1998 ; and goldstein and keohane 1993. 58 international organization', 'owe his agenda - setting power to any electoral or coalitional upswell fora community europe. he became premier against all contemporary predictions, campaigning for social policies that ﬁt poorly with liberalization. by far the mostpopular french politicians during the eec negotiations were its two strongestleaders before and after that process, mende ` s france and charles de gaulle ; they respectively incarnated confederal and traditional thinking. france chose the eecover these alternatives because certain leaders asserted their views amid a deeplycross - cutting battle of ideas. these diverse politicians — the conservative industri - alist pinay, the socialist boss mollet, the rural centrist maurice faure — shared littlebesides a model of a desirable europe. they achieved power on other issues, usedtheir authority to direct european policies, and built french strategies around theirideas. 115. inside the agricultural organizations, “ these opponents were motivated by political, one could even say psychological, objections. they felt unable to accept an institution in which france would beso closely associated with germany or where she might lose some of her freedom of decision. ” mahant1969, 221. 116. delwit 1995, 72. 117. le monde, 24 january 1957. 72 international organization', 'france ( and elsewhere ) were unlikely topursue the eec. french choices can be traced to a majority of sectoral associationsand their party representatives, but only supranational ( not national ) leadership builtthat majority. 28 i accept elements of both approaches but strongly revise their causal claims. the institutionalist story requires more blatant revision. between the initial, narrowecsc deal and the much more extensive eec, literally nomajor french actors shifted their policy preferences in response to supranational lobbying. nonetheless, once the broader eec bargain was struck, we need an institutionalist logic ofpath - dependence to understand why it was consolidated into europe ’ s fundamentalarchitecture in the 1960s. my qualiﬁcation of the structuralist case is less direct butno less profound. any explanation of european institution building must begin withthe economic and geopolitical context. yet structuralists overlook the immensepolitical battle that took place over different interpretations of that context. as of1950, otherwise - similar french elites debated three ideational “ models ” of theirinterests in europe. the divide between “ community, ” “ confederal, ” and “ tradi - tional ” views did not quite']",True,10,3,3,3,2.001389503479004,0.4470975995063782,factual,0.9999999999666667,1.0,0.982603068691997,1.0,0.589526698722195,0.85810679488878
What did the EEC stand for?,I don't know the answer.,"['the frankish empire at its greatest extent, ca. 814 adhistory of the european union the european union is a geo - political entity, created in 1993, covering a large portion of the european continent. it is founded upon numerous treaties and has under gone expansions and secessions that have taken it from six member states to 27, a majority of the states in europe. since the beginning of the institutionalised modern european integration in 1948, the development of the european union has been based on a supranational foundation that would "" make war unthinkable and materially impossible "" [ 1 ] [ 2 ] and reinforce democracy amongst its members [ 3 ] as laid out by robert schuman and other leaders in the schuman declaration ( 1950 ) and the europe declaration ( 1951 ). this principle was at the heart of the european coal and steel community ( ecsc ) ( 1951 ), the treaty of paris ( 1951 ), and later the treaty of rome ( 1957 ) which established the european economic community ( eec ) and the european atomic energy community ( eaec ). the maastricht treaty ( 1992 ) created the european union with its pillars system, including foreign and home affairs alongside the european communities. this in turn led to the', '##t treaty ( 1992 ) created the european union with its pillars system, including foreign and home affairs alongside the european communities. this in turn led to the creation of the single european currency, the euro ( launched 1999 ). the ecsc expired in 2002. the maastricht treaty has been amended by the treaties of amsterdam ( 1997 ), nice ( 2001 ) and lisbon ( 2007 ), the latter merging the three pillars into a single legal entity, though the eaec has maintained a distinct legal identity despite sharing members and institutions. the known world in ancient greece was differentiated into three landmass es : asia, "" libya "" ( africa ) and europe, giving rise to identifying the europea n landmass as a coherent area, a continent. the european landmass was populated and territorialized by many long before its conceptualization as a coherent continent. but the roman empire, an empire built on the hellenistic world and alexandrian empire, ancient egypt, the levant and north africa, became the first state to control the whole mediterranean basin and also large parts, particularly the southern and western parts of the european landmass. this historic prominence in the mediterranean basin and europe has been invoked by states that came after it, claiming succession to roman authority and to legitimate their', '33 ] on 19 september 1946 in a much recognized speech winston churchill reiterated his calls since 1930 for a "" european union "" and "" council of europe "", at the university of zurich. after leaving office, churchill called as a civilian for a united states of europe. coincidentally [ 34 ] parallel to his speech the hertenstein congress in the lucerne canton was being held, resulting in the union of european federalists, [ 35 ] one of the then founded and later constituting members of the european movement. richard von coudenhove - kaler gi, who successfully established during the interwar period the oldest organization for european integration, the paneuropean union, founded in june 1947 the european parliamentary union ( epu ). to ensure germany could never threaten thefrom world war i to world war ii world war ii ( 1939 – 1945 ) aftermath ( 1945 – 1948 )']",True,10,3,3,3,1.891056776046753,0.5358918905258179,factual,0.9999999999,,0.0,1.0,0.17836712328813098,0.7134684931525239
In what year was the EEC established?,"I don't know the exact date, but I do remember that the EEC was established in 1957.","['would inform later integration at a larger scale. the organization for european economic cooperation ( oeec ), created in 1948, provided another forum for managing economic affairs. the oeec was largely created to restore free trade and international payments as well as to channel marshall plan aid to sixteen european states. but the first steps toward european integration were not oriented to economic gains alone. the massive suffering inflicted by genocide and human rights violations of an unprecedented scale inspired governments to seek the means to prevent any recurrence of', 'european integration : initiated in western europe in aftermath of world war ii ; context marked by political and economic reconstruction, beginning of cold war three communities created in 1950s : european coal and steel community ( ecsc ), european atomic energy community ( euratom ) and european economic community ( eec ), with six member states two trajectories of development : ( 1 ) accession of more member states ( “ widening ” ), and ( 2 ) transfer of further powers to european institutions, coupled with shift to supranational decision making ( “ deepening ” ) history of the eu', 'move towards political union was the attempt to create a european defence community ( edc ). discussed after the successful launch of the ecsc, the edc foresaw the integration of the armies of the six ecsc member states ( i. e. including germany ) into a european army. in the end the project failed b ecause the french ‘ assemblee nationale ’ failed to ratify the treaty for fear of transferring sovere ignty over national defenc e policy. this period ( 1952 - 53 ) also saw the abortive attempt to creat e a european political union ( epu ), which was an initiative aimed at an integrated european foreign policy. following these failures, attempts to bring fo rward european integration moved away from political and towards economic cooperation. the treaties of rome, signed in 1957, successfully reinvigorated the dynamism of the integrati on process through economic integration and the european economic community ( eec ). the eec was founded to overcome the sectoral limitation of the ecsc. it aime d at the creation of a common ma rket for all economic sectors via an intermediary step, the creation of a cust oms union. in practical terms internal quotas']",True,10,3,3,3,2.088531970977783,0.4515218138694763,factual,0.5833333333041666,1.0,0.0,,0.20460428734659322,0.8184516970334481
Which French bureaucrat was a significant advocate for European integration?,I'm not sure.,"['european leaders opposed deeper integration. the french president charles de gaulle, for instance, tried to strip the high authority ( now the european commission ) of its supranational aspirations by establishing a primacy of member states. he also attacked majority voting in the council of ministers by boycotting council meetings and paralysing co mmunity decision - making for several months. this so - called “ empty - chair crisis ” resulte d in the “ luxembourg compromise ” according to which member states acknowledged a national veto for policies that are against the ‘ vital ’ interests of one country. as a result actual vo ting in the council of ministers remained the exception and consensus the rule. in addition to the initiatives eventually leading to the eu, many other organisations originated in the post - war era, such as nato and the oecd ( for an overview see annex 1 ). 5 the ecsc expired in mid - 2001 after 50 years of existence.', '33 ] on 19 september 1946 in a much recognized speech winston churchill reiterated his calls since 1930 for a "" european union "" and "" council of europe "", at the university of zurich. after leaving office, churchill called as a civilian for a united states of europe. coincidentally [ 34 ] parallel to his speech the hertenstein congress in the lucerne canton was being held, resulting in the union of european federalists, [ 35 ] one of the then founded and later constituting members of the european movement. richard von coudenhove - kaler gi, who successfully established during the interwar period the oldest organization for european integration, the paneuropean union, founded in june 1947 the european parliamentary union ( epu ). to ensure germany could never threaten thefrom world war i to world war ii world war ii ( 1939 – 1945 ) aftermath ( 1945 – 1948 )', "", inspired by the liberal ideas of the french and american revolutions. the following napoleonic wars and first french empire ( 1804 – 1815 ), brought down the holy roman empire, enabled nationalism and following the congress of vienna, [ 19 ] the ideals of internationalism like with immanuel kant and european unity flourished across the continent, especially in the writings of wojciech jastrzebowski ( 1799 – 1882 ) [ 20 ] or giuseppe mazzini ( 1805 – 1872 ). [ 21 ] the term united states of europe ( french : etats - unis d'eur ope ) was used at that time by victor hugo ( 1802 – 1885 ) during a speech at the international peace congress held in paris in 1849 : a day will come when all nations on our continent will form a european brotherhood... a day will come when we shall see... the united states of america and the united states of europe face to face, reaching out for each other across the seas. [ 22 ] during the interwar period, the consciousness that national markets in europe were interdependent though confrontational, along with the observation of a larger and growing us market on the other side of the ocean, nourished the urge for the economic integration of""]",True,10,3,3,3,1.9183762073516848,0.2509215772151947,factual,0.99999999995,,0.0,,0.18499839300245763,0.7399935720098305
What was the main argument of structuralists regarding the formation of the EU?,"I believe that the formation of the EU was heavily influenced by objective structural imperatives, such as international interdependence and the need for strong institutions to meet policy challenges. The EU was heavily path-dependent, with subsequent steps being heavily influenced by previous institutional building and the spillover effect from the coal and steel community (ECSC) in 1952.","['showing ideas as causes : the origins of the european union craig parsons why does western europe, with its quasi - federal european union ( eu ), have international institutions that are so much more developed than those in otherregions? scholars give two main answers. for “ structuralists ” like andrew morav - csik and alan milward, the eu responded to objective structural imperatives. 1 international interdependence was particularly acute in postwar europe, so govern - ments built particularly strong institutions to meet policy challenges. for “ institu - tionalists ” in the tradition of ernst haas, structural imperatives may have driveninitial postwar institution building, but subsequent steps were heavily path - depen - dent. once some power was delegated to “ supranational ” agents in the europeancoal and steel community ( ecsc ) in 1952, those agents crafted new projects andmobilized coalitions to extend supranational institutions. from this “ spillover ” arosethe broader european economic community ( eec ) in 1958 — the direct foundationof today ’ s eu — and its later development. 2 although i accept insights from both approaches, i argue that neither explains why europeans chose this “ community ” europe over radically different alternativesin', 'was again fundamental. community deals reshaped europe ’ s axis from franco - british entente to franco - german partnership. 133 what are the broad implications for the eu literature? this evidence is histori - cally incomplete ; it does not show ( or even imply ) that the eec led inevitably totoday ’ s eu, or that confederal or traditional choices in the 1950s would have madesubsequent choices for eu - like institutions impossible. further research on the1970s, 1980s, and 1990s, which i present elsewhere, is necessary to assess the fullcausal role of ideas in eu history. 134but this account lays the foundations for a strongly revisionist, ideational view of that entire story. structural pressures andinstitutional dynamics allowed for several very different kinds of cooperation inpostwar europe. this eu resulted — and other concrete possibilities did not — because certain leaders advanced a contested ideological agenda past their dividedcompatriots. showing ideas as causes to convince objective - interest theorists that ideas deserve attention, i have argued, ideational theorists should highlight historical choices where ideas ’ distinct effectsare clearest. these choices arise where ideas strongly cross - cut prevailing lines ofinterest aggregation, for two', 'france ( and elsewhere ) were unlikely topursue the eec. french choices can be traced to a majority of sectoral associationsand their party representatives, but only supranational ( not national ) leadership builtthat majority. 28 i accept elements of both approaches but strongly revise their causal claims. the institutionalist story requires more blatant revision. between the initial, narrowecsc deal and the much more extensive eec, literally nomajor french actors shifted their policy preferences in response to supranational lobbying. nonetheless, once the broader eec bargain was struck, we need an institutionalist logic ofpath - dependence to understand why it was consolidated into europe ’ s fundamentalarchitecture in the 1960s. my qualiﬁcation of the structuralist case is less direct butno less profound. any explanation of european institution building must begin withthe economic and geopolitical context. yet structuralists overlook the immensepolitical battle that took place over different interpretations of that context. as of1950, otherwise - similar french elites debated three ideational “ models ” of theirinterests in europe. the divide between “ community, ” “ confederal, ” and “ tradi - tional ” views did not quite']",True,10,3,3,3,2.682835817337036,0.4687266647815704,reasoning,0.9999999999,1.0,0.8706831404451313,1.0,0.6014256084198915,0.905702433679566
